"country_code","region_name","iata","icao","airport","latitude","longitude"
"US","New York","LGA","KLGA","LaGuardia Airport","40.775","-73.875"
"US","New York","JFK","KJFK","John F. Kennedy International Airport","40.6397","-73.7789"
